,pl_name,# name,ra_x,ra_y,dec_x,dec_y,st_vj,mag_v,pl_bmassj,mass_sini,pl_radj,radius,pl_orbper,orbital_period,pl_orbsmax,semi_major_axis,pl_orbeccen,eccentricity,pl_def_reflink,pl_disc_reflink,checked_coords,min_distance
0,24boob,24boob,217.15754700000002,217.162500013,49.844852,49.845000026,5.58,5.6,0.91,0.91,,,30.3506,30.3506,0.19,0.19,0.042,0.042,"<a refstr=""TAKARADA ET AL. 2018"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2018arXiv180404008T target=ref>Takarada et al. 2018</a>","<a refstr=""TAKARADA ET AL. 2018"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2018arXiv180404008T target=ref>Takarada et al. 2018</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 217.157547,  49.844852)>",100670.76661302762
1,bd032562b,bd032562b,177.564804,177.564802922,2.7601419999999997,2.76013113422,9.58,9.58,6.4,6.4,,,481.9,481.9,1.3,1.3,0.2,0.2,"<a refstr=""VILLAVER ET AL. 2017"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017A&A...606A..38V target=ref>Villaver et al. 2017</a>","<a refstr=""VILLAVER ET AL. 2017"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017A&A...606A..38V target=ref>Villaver et al. 2017</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 177.564804,  2.760142)>",4049.5261609500726
2,bd152375b,bd152375b,176.482174,176.48333335200002,14.616381,14.616388914000002,10.31,10.3,1.061,1.06,,,153.22,153.22,0.576,0.5760000000000001,0.001,0.001,"<a refstr=""NIEDZIELSKI ET AL. 2016"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016A&A...588A..62N target=ref>Niedzielski et al. 2016</a>","<a refstr=""NIEDZIELSKI ET AL. 2016"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016A&A...588A..62N target=ref>Niedzielski et al. 2016</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 176.482174,  14.616381)>",1818.1834792511015
3,bd152940b,bd152940b,240.09556600000002,240.0958,15.54693,15.5469,9.046,9.19,1.11,1.11,,,137.48,137.48,0.539,0.539,0.26,0.26,"<a refstr=""NOWAK ET AL. 2013"" href=http://adsabs.harvard.edu/abs/2013ApJ...770...53N target=ref> Nowak et al. 2013 </a>","<a refstr=""NOWAK ET AL. 2013"" href=http://adsabs.harvard.edu/abs/2013ApJ...770...53N target=ref> Nowak et al. 2013 </a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 240.095566,  15.54693)>",40858.92303399751
4,bd20594b,bd20594b,53.650967,53.650000012,20.599232,20.599166691,11.038,11.0,0.07,0.0513,0.23,0.19899999999999998,41.6855,41.6855,,0.24100000000000002,0.0,0.0,"<a refstr=""STASSUN ET AL. 2017"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017AJ....153..136S target=ref>Stassun et al. 2017</a>","<a refstr=""ESPINOZA ET AL. 2016"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJ...830...43E target=ref>Espinoza et al. 2016</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 53.650967,  20.599232)>",108217.15156334564
5,bd49828b,bd49828b,45.640529,45.641666678,49.730011,49.730000025,9.38,9.38,1.6,1.6,,,2590.0,2590.0,4.2,4.2,0.35,0.35,"<a refstr=""NIEDZIELSKI ET AL. 2015"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015ApJ...803....1N target=ref>Niedzielski et al. 2015</a>","<a refstr=""NIEDZIELSKI ET AL. 2015"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015ApJ...803....1N target=ref>Niedzielski et al. 2015</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 45.640529,  49.730011)>",253924.37317280387
6,bd061339b,bd061339b,88.251183,88.25,-5.9948440000000005,-5.9947,9.7,6.69,0.027,0.027000000000000003,,,3.8728,3.8728,0.0428,0.0428,0.0,0.0,"<a refstr=""LO CURTO ET AL. 2013"" href=http://adsabs.harvard.edu/abs/2013A%26A...551A..59L target=ref> Lo Curto et al. 2013 </a>","<a refstr=""LO CURTO ET AL. 2013"" href=http://adsabs.harvard.edu/abs/2013A%26A...551A..59L target=ref> Lo Curto et al. 2013 </a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 88.251183, -5.994844)>",46932.988382949625
7,bd061339c,bd061339c,88.251183,88.25,-5.9948440000000005,-5.9947,9.7,6.69,0.17,0.17,,,125.94,125.94,0.435,0.435,0.31,0.0,"<a refstr=""LO CURTO ET AL. 2013"" href=http://adsabs.harvard.edu/abs/2013A%26A...551A..59L target=ref> Lo Curto et al. 2013 </a>","<a refstr=""LO CURTO ET AL. 2013"" href=http://adsabs.harvard.edu/abs/2013A%26A...551A..59L target=ref> Lo Curto et al. 2013 </a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 88.251183, -5.994844)>",46932.988382949625
8,bd114672b,bd114672b,278.370148,278.370833343,-11.636039,-11.636111126,9.99,10.02,0.53,0.53,,,1667.0,1667.0,2.28,2.28,0.05,0.05,"<a refstr=""MOUTOU ET AL. 2015"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015A&A...576A..48M target=ref>Moutou et al. 2015</a>","<a refstr=""MOUTOU ET AL. 2015"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015A&A...576A..48M target=ref>Moutou et al. 2015</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 278.370148, -11.636039)>",18123.399600284327
10,corot24b,corot24b,101.922547,101.92500001399999,-3.719301,-3.719444461,,,0.018,,0.33,0.33,5.1134,5.1134,0.056,0.055999999999999994,0.0,0.0,"<a refstr=""ALONSO ET AL. 2014"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...567A.112A target=ref> Alonso et al. 2014</a>","<a refstr=""ALONSO ET AL. 2014"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...567A.112A target=ref> Alonso et al. 2014</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 101.922547, -3.719301)>",2292.6947683096787
